Dollar Loss,Year,Sprinkler System Presence
15000,2018,NA
50,2018,NA
0,2018,Undetermined
1500,2018,NA
2000,2018,No sprinkler system
100000,2018,No sprinkler system
5000,2018,Full sprinkler system present
500,2018,No sprinkler system
0,2018,Undetermined
7000,2018,NA
15000,2018,No sprinkler system
0,2018,Partial sprinkler system present
60000,2018,No sprinkler system
10000,2018,NA
10000,2018,NA
100,2018,Full sprinkler system present
3000,2018,Full sprinkler system present
100,2018,NA
5000,2018,NA
100,2018,Undetermined
15000,2018,NA
200,2018,No sprinkler system
0,2018,NA
4000,2018,NA
25000,2018,NA
5000,2018,NA
15000,2018,Full sprinkler system present
500000,2018,No sprinkler system
1000,2018,Full sprinkler system present
20000,2018,NA
1000,2018,Undetermined
15000,2018,NA
1000,2018,No sprinkler system
10000,2018,Undetermined
8000,2018,NA
40000,2018,NA
60000,2018,NA
5000,2018,Undetermined
5000,2018,No sprinkler system
10000,2018,No sprinkler system
3000,2018,No sprinkler system
0,2018,No sprinkler system
3000,2018,NA
30000,2018,Undetermined
1000,2018,No sprinkler system
0,2018,No sprinkler system
100,2018,No sprinkler system
50,2018,No sprinkler system
5000,2018,No sprinkler system
300,2018,Full sprinkler system present
1000,2018,Partial sprinkler system present
0,2018,NA
10000,2018,No sprinkler system
60000,2018,No sprinkler system
2000,2018,Undetermined
0,2018,Undetermined
50000,2018,NA
10000,2018,NA
100,2018,Undetermined
30000,2018,NA
50000,2018,No sprinkler system
1000,2018,No sprinkler system
5000,2018,No sprinkler system
500,2018,Partial sprinkler system present
500,2018,NA
1000,2018,NA
30000,2018,Undetermined
20000,2018,No sprinkler system
10000,2018,Undetermined
20000,2018,No sprinkler system
1000,2018,Undetermined
25000,2018,Undetermined
150000,2018,Undetermined
20000,2018,Undetermined
100,2018,No sprinkler system
3500,2018,NA
500,2018,No sprinkler system
10000,2018,No sprinkler system
2000,2018,No sprinkler system
500,2018,Undetermined
5000,2018,NA
1000,2018,No sprinkler system
200,2018,NA
6000,2018,NA
1000,2018,NA
10000,2018,NA
100000,2018,No sprinkler system
50000,2018,NA
50,2018,Undetermined
500,2018,No sprinkler system
8000,2018,Partial sprinkler system present
2500,2018,No sprinkler system
400,2018,NA
1000,2018,No sprinkler system
10000,2018,NA
0,2018,No sprinkler system
30000,2018,NA
3000,2018,No sprinkler system
100000,2018,NA
0,2018,NA
35000,2018,NA
500,2018,No sprinkler system
100,2018,Undetermined
250,2018,Undetermined
5000,2018,No sprinkler system
50000,2018,NA
30000,2018,No sprinkler system
20000,2018,No sprinkler system
2000,2018,NA
0,2018,Full sprinkler system present
0,2018,No sprinkler system
10000,2018,Undetermined
20000,2018,No sprinkler system
0,2018,Partial sprinkler system present
10000,2018,Full sprinkler system present
15000,2018,NA
8000,2018,NA
10000,2018,No sprinkler system
5000,2018,Undetermined
1500,2018,No sprinkler system
500,2018,No sprinkler system
15000,2018,Partial sprinkler system present
10000,2018,No sprinkler system
50000,2018,No sprinkler system
50000,2018,No sprinkler system
1000,2018,NA
40000,2018,No sprinkler system
100,2018,Undetermined
30000,2018,NA
2000,2018,Undetermined
10000,2018,Partial sprinkler system present
3000,2018,No sprinkler system
3000000,2018,Partial sprinkler system present
10000,2018,Full sprinkler system present
75000,2018,No sprinkler system
2000,2018,Full sprinkler system present
10000,2018,No sprinkler system
5000,2018,No sprinkler system
25000,2018,NA
12000,2018,NA
1500,2018,No sprinkler system
1000,2018,No sprinkler system
30000,2018,NA
0,2018,NA
15000,2018,No sprinkler system
3000,2018,No sprinkler system
1000,2018,Partial sprinkler system present
10000,2018,No sprinkler system
600,2018,No sprinkler system
50000,2018,No sprinkler system
3000,2018,Full sprinkler system present
30000,2018,No sprinkler system
5000,2018,Undetermined
3000,2018,Undetermined
5000,2018,No sprinkler system
200,2018,Undetermined
0,2018,Partial sprinkler system present
500,2018,NA
800,2018,Undetermined
100,2018,Full sprinkler system present
2000,2018,No sprinkler system
300,2018,Full sprinkler system present
25000,2018,No sprinkler system
500,2018,No sprinkler system
10000,2018,No sprinkler system
100000,2018,No sprinkler system
2500,2018,Partial sprinkler system present
5000,2018,No sprinkler system
65000,2018,No sprinkler system
20,2018,No sprinkler system
